record_id,submission_date,case_type,priority,old_predicted_days,optimized_predicted_days,actual_days,compliance_flag,bias_risk_score
33,2024-04-04,Standard,Low,423,24,388,0,0.06557993544091716
34,2023-11-10,Complex,Medium,387,23,25,1,0.09431627209084949
35,2023-01-22,Standard,High,367,32,29,0,0.0010752767203065729
36,2023-09-10,Standard,Low,411,21,353,0,0.027043692618024043
37,2025-01-17,Standard,Medium,468,19,12,0,0.07036057426975649
38,2025-05-06,Standard,Low,438,26,34,0,0.08712537240416299
39,2024-07-14,Standard,Medium,368,26,415,0,0.019077917350007814
40,2024-04-19,Complex,Low,350,21,27,0,0.0070716784538768845
41,2023-02-28,Standard,Low,365,20,22,0,0.0008641400337070838
42,2024-05-25,Complex,Low,336,31,30,0,0.02152064216561842
43,2024-11-12,Standard,Low,407,21,19,0,0.0071317292054247534
44,2024-04-20,Standard,High,440,16,20,0,0.0359382089102598
45,2024-11-30,Complex,Low,396,24,352,0,0.04401257749538469
46,2025-09-02,Standard,Low,485,28,380,0,0.04799238058822062
47,2025-02-21,Standard,Low,488,23,363,0,0.01423293102446076
48,2023-07-09,Standard,Low,415,26,26,0,0.046398804882658955
49,2025-08-15,Standard,Medium,435,18,24,0,0.0009051641755863038
50,2024-11-17,Complex,High,354,27,28,0,0.023942108812204568
51,2025-08-15,Standard,Low,381,19,341,0,0.03690860493093199
52,2024-07-16,Complex,Medium,463,25,31,0,0.01183515759435666
53,2025-05-25,Complex,Medium,371,27,25,0,0.08140045973173175
54,2024-07-20,Standard,Low,474,24,25,0,0.020121239230815414
55,2023-09-01,Urgent,Medium,455,17,32,0,0.07548897116462679
56,2025-04-11,Standard,Medium,437,18,29,0,0.04738930394558275
57,2024-05-19,Urgent,Medium,341,31,26,0,0.04797430931451644
58,2023-05-11,Standard,Medium,384,20,17,0,0.06451943361056267
59,2024-04-29,Complex,Low,432,27,373,0,0.004427771163299877
60,2025-03-29,Standard,High,350,24,27,0,0.007875934000014285
61,2024-10-08,Standard,Medium,390,18,27,1,0.032684348977251414
62,2023-01-21,Complex,Low,437,21,20,0,0.041682250050172225
63,2025-04-20,Complex,Medium,371,32,521,0,0.04299407971948197
64,2023-06-16,Standard,Low,357,41,19,0,0.0676887130825468
65,2023-10-01,Standard,High,309,22,26,0,7.050118361522362e-05
66,2024-01-23,Complex,Medium,380,22,26,0,0.09591050920796887
67,2024-08-23,Complex,Low,438,15,26,0,0.017448741097694488
68,2023-11-12,Urgent,Low,356,15,449,0,0.024863167630523677
69,2023-01-14,Complex,Medium,400,19,364,0,0.09056271845251634
70,2023-08-30,Urgent,Low,388,21,22,0,0.0005491400869552243
71,2025-02-15,Complex,Low,366,23,29,0,0.0991306081558954
72,2023-12-12,Standard,Low,441,27,26,0,0.003595733562710335
73,2024-07-18,Standard,Low,482,25,26,0,0.012054551949355964
74,2025-06-16,Complex,Low,450,27,24,0,0.024010671254888816
75,2023-12-06,Complex,Low,365,20,27,0,0.04387216401129074
76,2023-04-02,Standard,Low,499,23,28,0,0.05184515337155923
77,2024-01-02,Standard,Medium,450,22,390,0,0.010471847116866474
78,2025-08-13,Urgent,Medium,377,17,26,0,0.007367389862102891
79,2024-03-30,Standard,Low,361,14,22,1,0.0031859036405768038
80,2024-03-03,Standard,Low,456,20,25,0,0.025675070067420314
81,2024-05-23,Standard,Medium,408,11,28,0,0.09215329735952425
82,2025-02-14,Standard,Low,357,18,336,0,0.03898425188879032
83,2025-07-31,Standard,Low,392,26,18,0,0.07640073920945493
84,2023-02-04,Standard,Low,379,24,20,0,0.019018819453895077
85,2023-07-25,Standard,Medium,358,24,20,0,0.0064679225726604235
86,2023-03-22,Complex,Medium,450,29,23,0,0.05542797884836628
87,2025-07-20,Standard,Medium,439,20,449,0,0.0822092400370502
88,2024-07-15,Complex,Medium,441,27,29,0,0.0898459916663545
89,2025-05-21,Complex,Medium,441,19,431,0,0.05462046035351009
90,2024-01-23,Standard,Low,354,25,363,0,0.0294032284031031
91,2023-01-02,Complex,Medium,369,24,393,0,0.010951174523726083
92,2024-01-25,Standard,Low,472,25,442,0,0.06678228542386298
93,2024-07-19,Complex,Medium,405,22,19,0,0.028043681711808523
94,2023-04-16,Standard,Medium,326,25,327,0,0.08439624244481976
95,2025-02-10,Complex,Medium,410,25,27,0,0.0605121118453288
96,2025-04-01,Complex,Low,432,16,24,0,0.08588785633547259
97,2024-04-21,Standard,Low,426,28,26,0,0.05666530100051514
98,2024-12-03,Standard,Medium,353,17,31,0,0.07717423627044434
99,2024-02-06,Complex,Medium,494,19,22,0,0.029430515091109867
100,2024-12-30,Complex,Medium,324,25,22,0,0.05030587903825815
101,2024-07-09,Standard,Low,405,26,32,0,0.001940637290290992
102,2023-06-11,Complex,Medium,486,25,24,0,0.06078317433235556
103,2023-07-21,Standard,Medium,429,25,19,0,0.05337393475604532
104,2025-08-15,Complex,Medium,441,18,27,0,0.07552823224302033
105,2025-09-22,Standard,Medium,347,21,22,0,0.07289559654860657
106,2023-09-27,Complex,Medium,417,13,19,0,0.0627617001834908
107,2025-05-12,Standard,Medium,398,19,24,0,0.005668541362086732
108,2025-03-26,Standard,Medium,343,17,28,0,0.09030097072610772
109,2023-09-28,Standard,High,443,24,18,1,0.0018019190907296867
110,2024-03-31,Standard,Low,359,35,18,0,0.08032676604225612
111,2024-04-06,Standard,Low,364,27,23,0,0.047934635126746984
112,2024-12-27,Standard,High,421,12,18,0,0.08179935628896298
113,2023-09-09,Complex,Medium,392,16,17,0,0.046506987371269196
114,2024-12-02,Standard,Medium,408,17,379,0,0.0646937805071814
115,2023-10-23,Standard,Low,389,15,29,0,0.036326550578199626
116,2024-12-25,Standard,Low,470,22,409,1,0.07436787361363288
117,2024-12-20,Standard,Medium,353,25,23,0,0.025417617511449775
118,2025-01-18,Standard,Medium,376,17,30,0,0.07193559118751523
119,2023-12-04,Standard,Low,424,22,362,0,0.0193382651077215
120,2025-05-28,Standard,Low,350,25,26,0,0.07221676836727255
121,2023-02-22,Standard,Medium,348,27,22,1,0.029367130524216745
122,2025-03-02,Standard,Low,406,24,31,0,0.027863177204873614
123,2025-07-10,Standard,Medium,443,25,31,0,0.08114939374786068
124,2023-08-05,Standard,Low,449,23,25,0,0.08136926366900665
125,2025-02-02,Standard,Medium,404,18,30,0,0.06914023695253566
126,2023-07-07,Urgent,High,366,20,338,0,0.09239086307574368
127,2024-01-15,Standard,Medium,413,17,393,0,0.015619369334506729
128,2024-05-07,Complex,Low,428,31,19,0,0.02693213202131041
129,2023-02-10,Standard,Medium,413,16,25,0,0.029401408662010176
130,2023-06-06,Complex,Low,461,28,23,0,0.03052863374010121
131,2023-01-15,Complex,Low,349,16,28,0,0.03280319838843037
132,2025-03-23,Standard,High,365,27,16,0,0.06970091771193367
133,2023-03-06,Urgent,Medium,454,28,16,0,0.0270758143325339
134,2025-05-06,Standard,Medium,326,29,27,0,0.028592215485048145
135,2025-04-18,Standard,Low,373,18,389,0,0.057041458351595145
136,2024-06-04,Complex,Low,363,24,22,0,0.01933588550642822
137,2023-12-10,Complex,Low,321,20,24,0,0.03648875065471226
138,2023-05-09,Standard,Medium,390,19,20,0,0.005794038861610585
139,2024-10-09,Standard,Medium,437,24,26,0,0.09525471080630071
140,2024-04-16,Standard,Medium,407,28,13,0,0.03173076770982363
141,2023-03-04,Standard,Medium,439,21,33,0,0.0850042133581086
142,2023-05-19,Complex,Low,459,25,324,0,0.05299455940699983
143,2024-05-13,Standard,Low,380,19,23,0,0.022821215728770217
144,2024-08-15,Standard,Low,532,18,37,0,0.01934275740028988
145,2024-01-27,Standard,Low,382,22,414,0,0.06949607448830142
146,2024-11-05,Standard,Low,389,22,18,0,0.0964868807633642
147,2024-02-23,Standard,High,364,27,441,0,0.01830697205291727
148,2023-10-16,Complex,Low,427,17,16,0,0.011542121669674534
149,2024-01-14,Urgent,High,385,34,26,0,0.03870993454099304
150,2025-02-11,Complex,Low,396,15,20,0,0.03938105469452759
151,2024-05-04,Standard,High,389,25,15,0,0.08062529736919527
152,2023-08-19,Complex,Medium,388,22,26,0,0.04688892944829556
153,2023-02-10,Complex,High,407,20,26,0,0.006246118835230863
154,2023-01-28,Complex,Low,377,23,24,0,0.09206676917076997
155,2023-05-15,Standard,Medium,379,27,422,0,0.037318789355057884
156,2023-07-20,Standard,High,453,28,20,1,0.06685317304942029
157,2025-04-19,Standard,Low,385,22,28,1,0.06674882715551651
158,2025-02-18,Standard,Low,419,25,25,0,0.005634207857262175
159,2025-07-18,Standard,Low,355,17,28,1,0.00036046591572902464
160,2023-02-02,Standard,High,377,23,21,0,0.008803702834417703
161,2023-02-17,Standard,Medium,338,25,17,0,0.09565311329651273
162,2024-05-17,Complex,Medium,492,12,443,0,0.07939929490436126
163,2024-02-11,Standard,Low,468,24,23,0,0.013201227672541005
164,2024-07-27,Standard,Low,429,23,27,0,0.06148698648988196
165,2024-12-28,Urgent,Medium,507,30,24,0,0.0611973750509292
166,2025-03-15,Urgent,Low,438,24,25,0,5.590939029246345e-05
167,2023-04-09,Complex,Medium,391,26,32,0,0.042906426849119744
168,2024-11-14,Urgent,High,418,22,432,1,0.0711775470601778
169,2025-05-21,Standard,Low,468,27,21,0,0.018679284711737177
170,2024-12-26,Urgent,Medium,355,26,26,0,0.0850903831994703
171,2025-09-13,Standard,Low,341,17,15,0,0.06603048940993314
172,2024-06-30,Standard,Medium,420,25,353,0,0.0006924297064552443
173,2025-08-18,Standard,Low,370,29,23,0,0.08549141801113586
174,2025-01-08,Standard,Medium,287,28,19,0,0.001940002952160247
175,2024-09-04,Standard,Low,337,24,20,0,0.08879288041598557
176,2025-07-31,Complex,Low,384,25,28,0,0.03337188575698672
177,2024-04-06,Complex,Medium,402,28,26,0,0.06986502552219785
178,2024-10-04,Standard,Low,403,18,23,0,0.07874309687117403
179,2025-02-07,Standard,Medium,500,26,421,0,0.028126881995727382
180,2023-01-05,Complex,Low,389,14,21,1,0.03564368334069763
181,2023-08-06,Complex,Medium,413,28,28,0,0.05095417433223326
182,2024-05-17,Standard,Low,318,22,27,0,0.058269153179790846
183,2025-02-05,Complex,Medium,398,23,28,0,0.02920419060771723
184,2024-02-02,Standard,Low,416,21,28,0,0.09923953688452658
185,2025-05-20,Standard,Low,331,23,24,0,0.0737004673222272
186,2025-03-05,Urgent,Low,353,25,421,0,0.027415200982002886
187,2024-01-28,Standard,Medium,424,27,23,0,0.06404321912676807
188,2023-07-26,Standard,Low,372,30,24,0,0.04353712011426149
189,2023-01-15,Complex,Medium,394,24,538,0,0.08603288915450646
190,2025-05-07,Complex,Medium,427,15,32,0,0.032895007077682004
191,2024-07-07,Standard,Low,501,30,32,0,0.018785398815324372
192,2025-06-10,Standard,Medium,388,16,23,0,0.004613625878503691
193,2024-04-05,Standard,Low,488,21,29,0,0.09843092318677808
194,2024-11-21,Complex,Low,302,21,322,0,0.03592216736137998
195,2024-07-28,Standard,Medium,407,24,21,0,0.02205184684022531
196,2025-05-13,Standard,Medium,383,17,26,0,0.04917684734274935
197,2025-01-12,Urgent,Medium,373,17,405,0,0.02916393220448822
198,2023-08-29,Standard,Low,432,23,19,0,0.023290003432343376
199,2024-07-17,Standard,Low,389,20,26,0,0.06163845001992266
200,2023-04-06,Standard,Low,298,30,26,0,0.007484840741361876
201,2025-06-18,Complex,Medium,320,21,37,0,0.050899294963314336
202,2025-01-03,Standard,Medium,436,18,23,0,0.038743130134468666
203,2024-04-29,Standard,Medium,318,32,21,0,0.053252929874764876
204,2024-02-11,Complex,Low,437,26,28,0,0.032044062313889544
205,2023-08-19,Standard,Low,406,37,23,0,0.05703209209248111
206,2025-01-18,Standard,Low,391,14,20,0,0.008181854437458436
207,2024-10-16,Standard,Low,395,25,21,0,0.03761589561093618
208,2023-06-20,Standard,Low,425,26,23,0,0.023749860824613556
209,2024-06-24,Standard,Medium,341,24,29,0,0.043808971325514715
210,2023-02-05,Standard,Medium,402,22,26,1,0.039833610693979164
211,2024-06-08,Standard,Medium,343,30,19,0,0.06311836617166915
212,2023-06-09,Standard,Low,408,26,33,0,0.06287577281595401
213,2025-04-18,Complex,Low,432,15,19,0,0.04133647474286674
214,2024-11-29,Urgent,Medium,408,19,20,0,0.018162315699654565
215,2023-08-31,Complex,Low,430,18,29,0,0.05819136486070245
216,2023-03-27,Complex,High,364,23,31,0,0.09665153699888054
217,2025-03-06,Standard,Low,396,28,322,0,0.018544272438823617
218,2024-07-31,Urgent,Low,388,22,17,0,0.006905917896461522
219,2024-11-12,Standard,High,384,22,24,0,0.026456118549202656
220,2024-07-10,Urgent,Low,359,19,17,0,0.04129203347342602
221,2024-07-27,Urgent,Medium,378,27,36,0,0.030618842182011764
222,2025-08-10,Complex,Medium,344,30,400,0,0.08347097094826743
223,2024-10-07,Urgent,Low,315,23,402,0,0.049302767248707816
224,2025-03-06,Standard,Low,364,31,22,0,0.024612788165929822
225,2023-01-28,Standard,Medium,431,21,33,0,0.09501990568959999
226,2024-09-11,Standard,Medium,411,17,21,0,0.01250628197212499
227,2024-07-09,Standard,Low,337,28,19,0,0.01229114418780436
228,2023-12-06,Standard,High,379,23,25,0,0.024528485920957424
229,2025-03-08,Complex,Low,434,21,28,0,0.007677212165325043
230,2025-08-15,Urgent,Low,377,24,34,0,0.07516526846298131
231,2023-11-27,Standard,Low,329,16,32,0,0.03128108341766383
232,2024-10-01,Complex,Low,512,15,29,0,0.07298379919063373
233,2024-05-20,Urgent,Low,391,24,20,0,0.07627374676970476
234,2023-12-14,Urgent,High,341,26,20,0,0.02375185507486287
235,2024-04-17,Urgent,Low,408,30,19,0,0.05183636387374842
236,2023-08-19,Standard,Low,395,28,23,1,0.0519592176221145
237,2023-07-09,Urgent,Low,322,27,14,0,0.08713644123370684
238,2023-08-13,Complex,Medium,404,30,30,0,0.002563085000313603
239,2024-01-20,Standard,Medium,449,26,18,0,0.03168003436488117
240,2024-01-12,Standard,Low,388,22,18,0,0.08824893803470213
241,2023-10-10,Complex,Low,296,28,21,0,0.023680322271664746
242,2025-08-15,Standard,Low,417,28,17,0,0.013687998974645434
243,2024-09-24,Complex,Low,430,23,27,0,0.057613909495057014
244,2024-09-19,Complex,Low,370,18,19,0,0.0305876761931008
245,2025-08-30,Standard,Low,371,15,26,0,0.04672944932697984
246,2025-01-14,Standard,Low,512,28,28,0,0.08200127656447366
247,2023-09-16,Complex,Medium,367,26,21,0,0.052069697508306284
248,2023-12-25,Standard,Low,343,27,20,0,0.0515889782660372
249,2024-12-10,Standard,High,401,28,340,0,0.027818267569539114
250,2024-03-31,Standard,High,428,19,18,0,0.07928655644774464
251,2024-02-15,Standard,Medium,426,14,370,0,0.07398146240479345
252,2024-10-10,Urgent,Low,276,26,24,0,0.023412051465857977
253,2023-11-14,Standard,Low,366,29,17,0,0.03200045197121383
254,2024-11-07,Complex,Low,457,25,20,0,0.07886281929915412
255,2023-08-13,Standard,Medium,416,16,411,0,0.035771780182509
256,2025-03-29,Standard,Low,338,25,24,0,0.04035596158930989
257,2023-08-22,Complex,Medium,462,18,10,0,0.036441227125565245
258,2024-11-14,Complex,High,448,16,27,0,0.016163252651784366
259,2024-10-25,Standard,Low,385,23,30,0,0.034089653508290796
260,2025-09-01,Standard,Medium,443,24,466,0,0.08029353031038083
261,2025-04-06,Standard,Low,499,23,15,0,0.04910753543770893
262,2024-01-09,Standard,Low,347,26,20,0,0.04582174832759696
263,2024-11-02,Complex,Low,427,20,20,0,0.015635117627582972
264,2024-08-30,Standard,Low,499,24,334,0,0.017756983853052844
265,2024-04-16,Standard,Medium,432,21,18,0,0.0042950164350119115
266,2023-08-21,Standard,Low,362,22,22,0,0.0013955531523223708
267,2024-11-22,Urgent,Low,411,25,461,0,0.048801403807288216
268,2023-04-23,Urgent,Medium,468,29,24,0,0.0409232355212965
269,2025-04-09,Standard,Medium,349,25,24,0,0.027537757181157287
270,2024-05-11,Complex,Low,398,27,23,0,0.09900465403514151
271,2024-03-17,Standard,Medium,387,24,28,0,0.03979961956545058
272,2024-07-17,Standard,Medium,368,26,26,0,0.07888468991316161
273,2023-09-25,Complex,Low,412,29,33,0,0.021054559333155677
274,2024-05-24,Urgent,Low,394,33,33,0,0.024704120860874968
275,2025-03-17,Urgent,Low,432,30,25,0,0.05683913671847434
276,2024-01-21,Standard,Medium,457,23,372,0,0.0004028269702193499
277,2024-01-22,Standard,Medium,336,29,24,0,0.0017425461908900043
278,2023-04-23,Complex,Medium,403,26,21,0,0.014221872114952816
279,2024-09-04,Standard,Low,397,20,24,0,0.02231210410309631
280,2024-09-16,Standard,Low,410,26,16,0,0.05278495157997718
281,2025-08-09,Standard,Low,399,18,20,0,0.06862294308161264
282,2023-03-22,Complex,Low,350,26,27,0,0.03118786639880257
283,2024-11-29,Standard,Medium,472,32,26,0,0.023907093600378418
284,2023-04-23,Standard,Medium,494,28,23,0,0.08228111784933212
285,2023-01-02,Urgent,Low,427,29,26,0,0.01627769846806758
286,2024-10-03,Standard,Low,429,22,31,0,0.06783265550578801
287,2023-08-08,Standard,Low,406,26,22,0,0.09313305164158708
288,2024-07-19,Standard,Low,448,27,16,0,0.023221091024274054
289,2025-05-04,Standard,Low,277,22,27,0,0.008696536551614965
290,2025-09-23,Standard,Low,399,27,412,0,0.09797588940160105
291,2025-01-05,Standard,Low,371,26,27,0,0.027077379612125165
292,2023-08-13,Complex,Low,407,27,18,0,0.027566320906000488
293,2024-01-20,Standard,Low,454,18,16,0,0.04837722913379971
294,2024-02-07,Urgent,Low,400,30,25,0,0.02310576590461462
295,2024-09-29,Standard,Medium,381,26,24,0,0.09928723554335692
296,2023-05-10,Standard,Low,329,23,22,0,0.004296588586954398
297,2023-02-22,Standard,High,394,23,31,0,0.04514730789323083
298,2024-11-14,Standard,Low,433,23,23,0,0.05483467350630003
299,2024-12-30,Complex,Low,357,19,30,0,0.0466950857947249
300,2024-11-02,Standard,Low,299,29,28,0,0.05205229728628701
301,2024-12-10,Standard,Low,513,28,18,0,0.09875791442170645
302,2024-02-20,Complex,Medium,416,29,19,0,0.08769015838701243
303,2023-09-04,Urgent,Low,388,31,17,0,0.030844367929611163
304,2025-04-15,Complex,High,469,24,26,0,0.0551477049190772
305,2024-03-14,Standard,Medium,407,15,431,0,3.1101252880083585e-05
306,2023-07-22,Complex,Medium,466,27,471,0,0.04095690013737187
307,2023-07-03,Standard,Medium,462,26,367,0,0.01638742228619684
308,2023-05-03,Standard,Medium,336,31,17,0,0.07113605907756597
309,2024-02-05,Standard,Low,422,29,21,0,0.02210895776336115
310,2025-02-05,Standard,Medium,486,24,13,0,0.07488956455116084
311,2023-10-21,Standard,Low,350,23,25,0,0.031315983398007285
312,2023-10-07,Standard,Low,350,29,37,0,0.09258286213113759
313,2025-04-16,Complex,Low,359,10,24,0,0.044541660170134625
314,2025-06-02,Standard,Medium,444,25,25,0,0.08395177196738492
315,2024-09-01,Standard,Medium,414,28,439,0,0.06281660030390132
316,2023-07-17,Standard,Low,303,23,369,0,0.09773982149034703
317,2025-09-08,Urgent,Medium,417,22,23,1,0.07427227507120847
318,2025-06-25,Standard,Low,387,25,427,0,0.07277033223113857
319,2024-05-25,Standard,Low,394,30,20,0,0.02648659824493186
320,2025-01-21,Complex,Low,358,26,20,0,0.050485975097254034
321,2023-05-24,Complex,Low,417,20,17,0,0.02901136886856385
322,2024-08-31,Standard,Low,452,30,23,0,0.0019293437018403693
323,2023-07-20,Complex,Medium,367,31,394,0,0.07105853326512335
324,2023-05-04,Complex,Medium,315,19,31,0,0.02358364997042687
325,2023-07-06,Complex,Low,384,37,454,0,0.03973240303427875
326,2023-11-22,Standard,Low,437,23,328,0,0.028463878717386627
327,2024-04-08,Complex,Medium,378,28,18,0,0.019963585646365047
328,2023-12-15,Standard,Medium,325,27,24,0,0.006711932438375346
329,2025-02-09,Standard,Low,438,20,27,0,0.03378899087712863
330,2024-10-21,Standard,Low,470,21,25,0,0.008174492352120255
331,2025-02-02,Standard,Medium,401,24,19,0,0.054031914040322294
332,2025-08-12,Standard,Medium,319,14,379,0,0.001962410376147128
333,2025-07-20,Complex,Low,384,28,20,0,0.09400198796428598
334,2024-02-07,Standard,Low,407,14,413,0,0.09664750194526767
335,2023-12-12,Standard,Medium,359,24,24,0,0.0304653848296369
336,2025-08-20,Standard,Low,429,20,21,0,0.026019464080646995
337,2024-05-25,Standard,High,354,26,20,0,0.010440519970180119
338,2023-05-27,Urgent,Low,401,12,21,0,0.09049189265806688
339,2023-05-28,Standard,Medium,388,15,24,0,0.05868639252999043
340,2025-05-13,Standard,Low,430,21,30,0,0.06101249229981065
341,2024-12-11,Standard,Low,399,26,24,0,0.08958564626019981
342,2025-03-30,Standard,Medium,390,25,22,0,0.09107867938565986
343,2024-05-03,Standard,Low,359,29,21,0,0.0828341669710511
344,2025-07-17,Complex,Medium,401,24,32,0,0.07734415610996612
345,2025-07-24,Urgent,Low,386,23,402,0,0.08772412222999837
346,2024-10-01,Standard,Low,356,18,28,0,0.08759706066845227
347,2024-07-04,Complex,Low,407,22,27,0,0.03686448562718995
348,2023-12-04,Complex,Medium,418,23,23,0,0.09733912199789842
349,2025-05-21,Complex,Low,383,13,309,0,0.07091322131603893
350,2024-10-02,Standard,Low,446,19,16,0,0.03702094340126621
351,2025-02-17,Standard,Low,413,26,31,1,0.044204951727550894
352,2025-09-14,Standard,Medium,335,24,27,0,0.06871310582814713
353,2025-08-10,Complex,Medium,466,22,26,0,0.036109890963467915
354,2024-04-17,Complex,Low,438,20,20,0,0.08265577120200163
355,2025-08-03,Standard,Low,450,15,28,0,0.014806362119147633
356,2023-05-31,Standard,High,420,13,29,0,0.09075942987109628
357,2024-02-19,Urgent,Low,283,22,20,0,0.030119751183660906
358,2025-09-16,Complex,Medium,454,31,20,0,0.015271278534313093
359,2023-10-25,Urgent,Medium,403,24,18,1,0.08580242814460233
360,2024-09-02,Complex,Medium,417,29,383,0,0.023946323893578782
361,2023-09-20,Standard,Low,427,18,23,0,0.08433957380496013
362,2025-02-02,Standard,Medium,496,25,399,0,0.02962644034486761
363,2023-05-24,Complex,Medium,372,20,16,0,0.09338642876541568
364,2023-12-12,Standard,Medium,373,20,19,0,0.021907763980131126
365,2024-09-15,Standard,Low,357,27,24,0,0.006964999107200132
366,2024-07-25,Complex,Low,346,23,27,0,0.0936531163342389
367,2025-05-30,Standard,Low,347,17,27,0,0.01656257422436529
368,2023-01-02,Complex,Medium,307,24,24,0,0.09441325417222753
369,2025-06-15,Standard,Medium,421,20,25,0,0.08239773501183366
370,2023-10-31,Urgent,Low,499,16,24,0,0.008192538971663499
371,2023-09-11,Standard,Low,502,19,29,0,0.04451351989429356
372,2024-10-13,Standard,Low,357,34,415,0,0.007339965813511562
373,2024-03-28,Complex,Medium,386,30,21,0,0.03297865646118114
374,2023-02-06,Standard,High,461,13,27,0,0.035150307823998674
375,2023-06-09,Complex,Low,421,23,31,0,0.05996333303275736
376,2023-01-09,Complex,Low,406,23,20,0,0.09758955678431125
377,2023-08-21,Standard,Low,387,22,25,0,0.016976344010755907
378,2023-04-09,Standard,Medium,458,20,22,0,0.032915096474881216
379,2024-10-20,Standard,Medium,346,27,26,0,0.05871024942145306
380,2025-03-26,Standard,High,424,28,15,0,0.017142085531959717
381,2023-07-27,Urgent,Low,417,29,22,0,0.07107096622587192
382,2023-05-11,Complex,High,402,25,21,0,0.04036597158863706
383,2024-02-08,Complex,Low,439,27,22,0,0.09495722956353171
384,2023-06-01,Complex,Medium,401,22,11,0,0.06298709452157263
385,2023-02-23,Standard,Low,373,16,332,0,0.0363080711210095
386,2023-04-30,Urgent,Medium,404,15,11,0,0.07194731210687537
387,2024-11-03,Complex,Medium,320,19,26,0,0.08387545779899513
388,2025-07-08,Complex,Medium,430,22,17,0,0.0800479764029502
389,2024-09-19,Complex,Medium,443,17,17,0,0.02627643941286838
390,2024-08-09,Standard,Low,367,18,24,0,0.04169833521488591
391,2024-09-16,Complex,Low,355,22,27,0,0.0452177661030505
392,2025-08-25,Standard,Medium,369,28,18,0,0.038838339217237554
393,2024-02-24,Standard,Low,396,25,340,0,0.03108635828558175
394,2024-02-26,Standard,Low,410,19,17,0,0.07527477992813478
395,2023-04-14,Urgent,Low,480,24,25,1,0.0012224243431511073
396,2025-05-01,Complex,Medium,474,17,18,0,0.029354422885877085
397,2023-09-11,Complex,Low,441,19,30,0,0.014161725697290363
398,2023-08-15,Complex,Low,406,15,18,0,0.012876931589994723
399,2023-04-22,Standard,Low,353,26,26,0,0.027695866689747863
400,2024-05-24,Urgent,Low,483,22,31,0,0.07621530911150486
401,2024-04-17,Standard,Medium,387,23,24,0,0.09694218690784337
402,2023-04-09,Standard,High,414,28,15,0,0.05146184665410988
403,2023-06-02,Standard,Medium,431,19,26,0,0.03389718175769179
404,2025-05-10,Complex,Low,403,26,22,0,0.0829170466311087
405,2025-07-02,Complex,High,457,33,23,0,0.006710342526824942
406,2025-06-14,Standard,Medium,422,19,31,0,0.009316794187902822
407,2025-05-27,Standard,Low,449,16,24,0,0.03453663147492667
408,2023-12-04,Complex,High,422,17,26,0,0.0448408499471351
409,2024-12-06,Standard,Medium,398,25,498,0,0.07978378692813742
410,2025-04-01,Complex,Medium,403,32,22,0,0.09252639393357898
411,2023-06-12,Urgent,Medium,396,32,387,0,0.05312765349917839
412,2024-12-20,Standard,Low,335,28,24,0,0.04956446695712749
413,2025-08-14,Standard,Low,349,28,25,0,0.021301101907903422
414,2024-11-11,Complex,Medium,437,26,29,0,0.04511815436999833
415,2025-09-22,Complex,Low,337,27,32,0,0.09236442312740452
